"quarter","primary_ofnse_typ","admissions","releases","net_admissions"
"2021 Q4","WEAPONS",39,27,12
"2022 Q1","WEAPONS",32,27,5
"2022 Q2","WEAPONS",26,42,-16
"2022 Q3","WEAPONS",39,25,14
"2022 Q4","WEAPONS",33,31,2
"2023 Q1","WEAPONS",45,31,14
"2023 Q2","WEAPONS",28,35,-7
"2023 Q3","WEAPONS",30,31,-1
"2023 Q4","WEAPONS",31,27,4
"2024 Q1","WEAPONS",40,27,13
"2024 Q2","WEAPONS",18,32,-14
"2024 Q3","WEAPONS",23,27,-4
"2024 Q4","WEAPONS",33,31,2
"2025 Q1","WEAPONS",27,13,14
"2025 Q2","WEAPONS",37,28,9
"2025 Q3","WEAPONS",30,29,1
"2025 Q4","WEAPONS",38,29,9
"2026 Q1","WEAPONS",32,29,3
