"Quarter_Year","Category","Count"
"2025 Q1","PERSON",1359.8
"2025 Q1","PROPERTY",743.34
"2025 Q1","SEX/NON-REGISTERABLE",20.21
"2025 Q1","SEX/REGISTERABLE",2348.57
"2025 Q1","WEAPONS",166.47
"2025 Q2","ALCOHOL & DRUG",472.7
"2025 Q2","DRIVING",183.69
"2025 Q2","DRUG POSSESSION ONLY",64.01
"2025 Q2","MURDER",865.8
"2025 Q2","OTHER",120.84
"2025 Q2","PERSON",1367.04
"2025 Q2","PROPERTY",753.08
"2025 Q2","SEX/NON-REGISTERABLE",21.87
"2025 Q2","SEX/REGISTERABLE",2404.67
"2025 Q2","WEAPONS",181.26
"2025 Q3","ALCOHOL & DRUG",479.83
"2025 Q3","DRIVING",180.89
"2025 Q3","DRUG POSSESSION ONLY",69.27
"2025 Q3","MURDER",869.05
"2025 Q3","OTHER",131.43
"2025 Q3","PERSON",1399.83
"2025 Q3","PROPERTY",754.84
"2025 Q3","SEX/NON-REGISTERABLE",24.33
"2025 Q3","SEX/REGISTERABLE",2486.34
"2025 Q3","WEAPONS",186.61
"2025 Q4","ALCOHOL & DRUG",478.48
"2025 Q4","DRIVING",172.75
"2025 Q4","DRUG POSSESSION ONLY",77.17
"2025 Q4","MURDER",880.5
"2025 Q4","OTHER",142.48
"2025 Q4","PERSON",1413.39
"2025 Q4","PROPERTY",753.72
"2025 Q4","SEX/NON-REGISTERABLE",25.28
"2025 Q4","SEX/REGISTERABLE",2526.84
"2025 Q4","WEAPONS",194.32
"2026 Q1","ALCOHOL & DRUG",467.58
"2026 Q1","DRIVING",165.49
"2026 Q1","DRUG POSSESSION ONLY",72.62
"2026 Q1","MURDER",885.41
"2026 Q1","OTHER",148.72
"2026 Q1","PERSON",1389.26
"2026 Q1","PROPERTY",730.08
"2026 Q1","SEX/NON-REGISTERABLE",23.03
"2026 Q1","SEX/REGISTERABLE",2537.12
"2026 Q1","WEAPONS",201.08
"2026 Q2","ALCOHOL & DRUG",488.05
"2026 Q2","DRIVING",167.38
"2026 Q2","DRUG POSSESSION ONLY",72.35
"2026 Q2","MURDER",882
"2026 Q2","No Active Offense",0.33
"2026 Q2","OTHER",151.16
"2026 Q2","PERSON",1398.64
"2026 Q2","PROPERTY",736.32
"2026 Q2","SEX/NON-REGISTERABLE",23.69
"2026 Q2","SEX/REGISTERABLE",2571.32
"2026 Q2","WEAPONS",189.74
