"Quarter_Year","Category","Count"
"2012 Q4","WEAPONS",83.7
"2013 Q1","ALCOHOL & DRUG",571.98
"2013 Q1","DRIVING",276.76
"2013 Q1","DRUG POSSESSION ONLY",335.01
"2013 Q1","MURDER",693.4
"2013 Q1","No Active Offense",6.29
"2013 Q1","OTHER",99.76
"2013 Q1","PERSON",1265.49
"2013 Q1","PROPERTY",1443.9
"2013 Q1","SEX/NON-REGISTERABLE",6
"2013 Q1","SEX/REGISTERABLE",2162.41
"2013 Q1","WEAPONS",79.4
"2013 Q2","ALCOHOL & DRUG",580.84
"2013 Q2","DRIVING",277.97
"2013 Q2","DRUG POSSESSION ONLY",347.9
"2013 Q2","MURDER",693.65
"2013 Q2","No Active Offense",4.11
"2013 Q2","OTHER",111.77
"2013 Q2","PERSON",1291.58
"2013 Q2","PROPERTY",1475.84
"2013 Q2","SEX/NON-REGISTERABLE",6.81
"2013 Q2","SEX/REGISTERABLE",2171.51
"2013 Q2","WEAPONS",82.92
"2013 Q3","ALCOHOL & DRUG",591.22
"2013 Q3","DRIVING",286.95
"2013 Q3","DRUG POSSESSION ONLY",362.54
"2013 Q3","MURDER",697.11
"2013 Q3","No Active Offense",6.02
"2013 Q3","OTHER",106.41
"2013 Q3","PERSON",1295.26
"2013 Q3","PROPERTY",1494.7
"2013 Q3","SEX/NON-REGISTERABLE",7.66
"2013 Q3","SEX/REGISTERABLE",2182.5
"2013 Q3","WEAPONS",90.34
"2013 Q4","ALCOHOL & DRUG",592.86
"2013 Q4","DRIVING",276.83
"2013 Q4","DRUG POSSESSION ONLY",383.96
"2013 Q4","MURDER",694.57
"2013 Q4","No Active Offense",6.53
"2013 Q4","OTHER",94.82
"2013 Q4","PERSON",1295.86
"2013 Q4","PROPERTY",1494.93
"2013 Q4","SEX/NON-REGISTERABLE",9.64
"2013 Q4","SEX/REGISTERABLE",2195.41
"2013 Q4","WEAPONS",86.11
"2014 Q1","ALCOHOL & DRUG",579.82
"2014 Q1","DRIVING",249.53
"2014 Q1","DRUG POSSESSION ONLY",367.7
"2014 Q1","MURDER",699.69
"2014 Q1","No Active Offense",6.56
"2014 Q1","OTHER",92.24
"2014 Q1","PERSON",1291.22
"2014 Q1","PROPERTY",1439.66
"2014 Q1","SEX/NON-REGISTERABLE",10.36
"2014 Q1","SEX/REGISTERABLE",2198.06
"2014 Q1","WEAPONS",88.64
"2014 Q2","ALCOHOL & DRUG",570.38
