"year","primary_ofnse_typ","median_los","n"
2026,"MURDER",191.5,12
2026,"OTHER",168,25
2026,"PERSON",189,187
2026,"PROPERTY",174,153
2026,"SEX/NON-REGISTERABLE",168,1
2026,"SEX/REGISTERABLE",181.5,110
2026,"WEAPONS",175,30
2010,"All Offenses Combined",182,1014
2011,"All Offenses Combined",182,927
2012,"All Offenses Combined",181,814
2013,"All Offenses Combined",181,780
2014,"All Offenses Combined",182,879
2015,"All Offenses Combined",156,1013
2016,"All Offenses Combined",110.5,1320
2017,"All Offenses Combined",118,1303
2018,"All Offenses Combined",122,1188
2019,"All Offenses Combined",118,1574
2020,"All Offenses Combined",124,1487
2021,"All Offenses Combined",140,1487
2022,"All Offenses Combined",161,1764
2023,"All Offenses Combined",155,1705
2024,"All Offenses Combined",175,1465
2025,"All Offenses Combined",168,1285
2026,"All Offenses Combined",175,626
